epoch,capsnet_acc,capsnet_loss,decoder_loss,loss,val_capsnet_acc,val_capsnet_loss,val_decoder_loss,val_loss
0,0.22998000017553569,0.47923297452926633,0.05697205713391304,0.50156602001190187,0.33700000017881393,0.42654651671648025,0.053057309687137601,0.44734498172998427
1,0.35668000051379206,0.41611000180244445,0.050495082713663576,0.43590407413244248,0.40679999887943269,0.39040377378463748,0.046922247260808944,0.40879729539155962
2,0.39813999885320661,0.39498928970098496,0.045645121000707146,0.41288217651844022,0.43459999799728394,0.37208819329738618,0.042137800306081774,0.38860621213912966
3,0.41877999800443649,0.38213323086500167,0.042080050304532053,0.3986286107301712,0.4528999975323677,0.36129394948482513,0.040040061809122562,0.37698965340852736
4,0.4366999980211258,0.37098254048824308,0.040509727358818054,0.38686235344409942,0.46949999511241913,0.35246665596961974,0.038892544209957122,0.36771253377199176
5,0.45167999798059466,0.36246523362398148,0.039448916807770726,0.37792920887470244,0.47299999713897706,0.34797166377305982,0.039019409492611887,0.36326727122068403
6,0.46371999764442445,0.3544264520406723,0.038516306951642036,0.36952484369277955,0.48769999712705614,0.33832542061805726,0.037713647894561289,0.35310916841030121
7,0.47355999678373339,0.34802976238727568,0.037781726419925693,0.36284019899368286,0.48909999668598175,0.33623316735029218,0.037036656066775323,0.35075153589248659
8,0.48509999704360962,0.34181102257966994,0.036860923111438751,0.3562605041861534,0.50149999737739559,0.33440375268459321,0.036702453792095184,0.34879111289978026
9,0.49319999551773069,0.3367502000927925,0.036229857683181765,0.35095230364799501,0.51549999475479125,0.32490643203258512,0.036358381733298299,0.33915891766548156
10,0.50439999717473982,0.33210867297649382,0.035804624699056146,0.34614408540725711,0.52549999684095383,0.32031540840864181,0.035087895728647706,0.33406986415386197
11,0.51581999617815022,0.32599169611930845,0.035187644962221383,0.33978525197505949,0.52519999980926513,0.31885239720344544,0.0348817740380764,0.3325260528922081
12,0.51917999625205991,0.3226419109106064,0.034861384723335505,0.33630757319927218,0.53529999792575833,0.3132562345266342,0.034279414881020785,0.32669376343488693
13,0.52783999645709989,0.31845269787311553,0.034382263947278259,0.3319305449128151,0.53649999678134919,0.31168227881193161,0.0340630385838449,0.32503499060869218
14,0.52993999767303468,0.31595655184984206,0.033932828955352309,0.32925822103023528,0.54240000009536748,0.30885557383298873,0.033636979758739471,0.32204126954078677
15,0.53271999585628504,0.31298746913671494,0.033502658836543561,0.32612051117420199,0.54669999599456787,0.30825352251529692,0.033184840232133868,0.32126197963953018
16,0.5421599975824356,0.30934637969732287,0.033087650153785945,0.32231673842668535,0.55119999259710317,0.30444113612174989,0.032909570280462506,0.31734168708324434
17,0.54639999723434451,0.30716031304001806,0.032811963621526954,0.32002260184288023,0.55199999690055845,0.30331151932477951,0.032517325989902021,0.31605831056833267
18,0.55133999788761134,0.30419269573688507,0.032484074193984268,0.3169264525771141,0.5569999983906746,0.30249405726790429,0.032404637392610312,0.31519667327404022
19,0.55513999670743941,0.30280059465765952,0.032227617539465431,0.31543382006883619,0.55889999747276309,0.30070925593376158,0.032004997208714484,0.31325521498918535
20,0.55615999716520315,0.30087974581122401,0.031903412137180565,0.31338588306307791,0.5569999983906746,0.301149922311306,0.03198561795055866,0.31368828415870664
21,0.56043999785184861,0.29792288675904272,0.031660715453326702,0.3103338862657547,0.56059999734163279,0.29866611987352371,0.03186320936307311,0.31115649700164794
22,0.56125999736785892,0.29827349916100504,0.031451547540724274,0.31060250556468966,0.5656999954581261,0.29773258224129678,0.031355943772941826,0.31002411246299744
23,0.5645999982357025,0.29593951916694639,0.031216513499617578,0.30817639172077177,0.56349999785423277,0.29740553393960001,0.031399783641099931,0.30971424788236618
24,0.56611999851465222,0.29477527290582656,0.0310841494910419,0.30696025943756106,0.56379999995231633,0.29773749336600303,0.031323598492890597,0.31001634299755099
25,0.57135999733209608,0.29316700780391691,0.030916404105722904,0.30528623771667479,0.56549999803304674,0.29649848535656931,0.031274406109005212,0.30875805228948594
26,0.57005999779701233,0.29267036384344103,0.030731678824871777,0.30471718108654022,0.56319999784231189,0.29556038916110994,0.031018684972077607,0.30771971344947813
27,0.57111999839544292,0.29175715160369875,0.030627593461424112,0.30376316788792612,0.56679999828338623,0.29520750313997268,0.030788321178406478,0.30727652400732042
28,0.57459999835491182,0.29041718164086344,0.030508293531835078,0.30237643226981165,0.5703999975323677,0.29400926470756533,0.030635637734085321,0.30601843416690827
29,0.57535999888181688,0.2895733234882355,0.030393275789916515,0.30148748704791067,0.57079999744892118,0.29378349468111992,0.030496724694967271,0.30573821008205415
30,0.57505999881029124,0.28932036775350572,0.030279765646904707,0.30119003567099573,0.56820000082254407,0.29413101330399516,0.030427126195281744,0.30605844587087633
31,0.57939999783039098,0.28847272518277167,0.030203042082488536,0.30031231728196145,0.56999999880790708,0.2934365928173065,0.030420492663979531,0.30536142587661741
32,0.57901999849081043,0.28793210861086843,0.0300850975997746,0.29972546711564063,0.5727999943494797,0.29259456679224966,0.030324129350483418,0.30448162406682966
33,0.58015999680757524,0.28707638356089593,0.030002809975296259,0.29883748427033424,0.57289999634027478,0.29230437472462656,0.030216249842196702,0.30414914429187773
34,0.58179999750852585,0.28659494051337242,0.029924221824854613,0.29832523494958879,0.56999999821186065,0.29252059042453765,0.03014235485345125,0.30433639347553254
35,0.58301999932527537,0.28551044383645058,0.029877805639058352,0.29722254353761673,0.5723999992012978,0.2924425193667412,0.030126462876796722,0.30425209045410156
36,0.58369999885559087,0.28500748872756959,0.029876433148980142,0.29671904990077019,0.57319999486207962,0.29185936525464057,0.030042259227484464,0.30363593101501463
37,0.58347999936342243,0.28466115981340406,0.029776705104857682,0.29633362826704979,0.57319999575614933,0.291723667383194,0.029995743054896593,0.3034819981455803
38,0.58203999829292297,0.28534991478919985,0.02968535317480564,0.29698657247424126,0.57149999797344209,0.2916350792348385,0.029970364458858968,0.30338346153497697
39,0.58365999829769133,0.28472439080476764,0.029675127714872362,0.296357040643692,0.57199999719858174,0.29181453794240952,0.029933427292853594,0.30354844123125074
40,0.58627999889850613,0.28441169506311414,0.029652775250375272,0.29603558266162872,0.5754999956488609,0.29129055619239808,0.029908005464822054,0.30301449507474898
41,0.58653999698162074,0.28357173609733582,0.029606209181249142,0.29517736992239951,0.57419999241828923,0.29123649507761001,0.029889216348528862,0.30295306712388992
42,0.58585999804735178,0.28380500799417496,0.029549607198685407,0.29538845375180245,0.57299999624490738,0.29134392783045771,0.029873784538358449,0.30305445045232771
43,0.5847199977636337,0.28359195029735568,0.029538753345608713,0.2951711410880089,0.57299999594688411,0.29108529612421991,0.029832978900521993,0.30277982354164124
44,0.58585999870300298,0.28423372069001196,0.029495954889804124,0.29579613405466082,0.57409999281167989,0.29101735427975656,0.029826028551906348,0.30270915776491164
45,0.58389999783039093,0.2840575442016125,0.029516647115349768,0.29562806901335714,0.57269999504089353,0.29111679732799528,0.029787215013056992,0.302793385386467
46,0.58401999866962429,0.28408242255449295,0.029475371304899453,0.2956367670595646,0.57529999613761906,0.29094261988997461,0.02975975750014186,0.30260844558477401
47,0.58595999914407726,0.28342300364375117,0.029438003424555062,0.2949627005159855,0.57609999418258662,0.29096651524305345,0.029739135336130859,0.3026242560148239
48,0.5864999987483025,0.28335158172249791,0.029445607919245959,0.29489425966143606,0.57489999562501903,0.2907487979531288,0.02972441928461194,0.30240077048540115
49,0.5867399985194206,0.28344790473580361,0.029401408407837153,0.29497325602173807,0.57469999551773077,0.29084171786904334,0.029708947204053402,0.30248762398958207
